                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.51076,                 0.4341,                0.94346,                0.56728,                0.33916,                0.34098,                0.11532,                 2.3692,                 2.5212,                 2.6798,              0.0011224,              0.0011224,              0.0011224
                     36,                0.50417,                0.42104,                0.93794,                0.59041,                0.37067,                0.42393,                0.14603,                 2.3477,                  2.517,                 2.6547,              0.0011059,              0.0011059,              0.0011059
                     37,                 0.5078,                0.42838,                0.93931,                0.52608,                0.42352,                0.43144,                0.15169,                 2.3542,                 2.1623,                 2.5831,              0.0010894,              0.0010894,              0.0010894
                     38,                0.50947,                0.43203,                0.93942,                0.47463,                0.25797,                0.28129,                0.08629,                 2.5437,                 3.1795,                 2.6658,              0.0010729,              0.0010729,              0.0010729
                     39,                0.50361,                0.41613,                0.93955,                0.65385,                0.45282,                0.51083,                0.18605,                 2.2833,                 2.0947,                 2.5271,              0.0010564,              0.0010564,              0.0010564
                     40,                0.49467,                0.40997,                0.93099,                  0.417,                0.26084,                0.25292,                0.08487,                 2.5303,                 3.2237,                 2.6416,              0.0010399,              0.0010399,              0.0010399
                     41,                0.50056,                0.40439,                0.93036,                0.43979,                0.23312,                 0.2288,                0.07092,                  2.588,                 3.5787,                 2.7673,              0.0010234,              0.0010234,              0.0010234
                     42,                0.49169,                0.40657,                0.93131,                0.66632,                0.46613,                0.51442,                0.18833,                 2.2463,                  1.875,                 2.6101,              0.0010069,              0.0010069,              0.0010069
                     43,                0.48947,                0.40307,                0.93007,                0.52108,                0.42179,                0.40574,                0.14414,                 2.3709,                 2.2001,                 2.7705,             0.00099036,             0.00099036,             0.00099036
                     44,                0.48968,                 0.4025,                0.92888,                0.59345,                0.31902,                0.39022,                  0.134,                 2.4517,                 2.8738,                 2.6797,             0.00097386,             0.00097386,             0.00097386
                     45,                0.48124,                0.38834,                0.92153,                0.54768,                0.35157,                0.37889,                0.11282,                 2.5392,                 2.5464,                 2.8077,             0.00095736,             0.00095736,             0.00095736
                     46,                 0.4691,                0.38973,                0.92009,                0.55065,                0.33807,                0.33329,                0.10674,                 2.5439,                   2.67,                 2.7457,             0.00094085,             0.00094085,             0.00094085
                     47,                0.48055,                 0.3989,                0.91983,                0.61372,                0.42363,                0.45906,                0.16028,                 2.3601,                  2.152,                 2.6713,             0.00092435,             0.00092435,             0.00092435
