                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 0.8336,                0.81783,                 1.0554,                0.25903,                0.14388,                0.09863,                0.02549,                 2.7625,                 3.5268,                 2.5696,              0.0015185,              0.0015185,              0.0015185
                     12,                0.78723,                0.76598,                 1.0376,                0.46005,                0.39429,                0.35596,                0.10561,                 2.5957,                 2.2096,                 2.5122,               0.001502,               0.001502,               0.001502
                     13,                0.77374,                0.74621,                 1.0288,                0.34989,                0.29802,                0.21505,                0.07198,                 2.4791,                 2.6967,                 2.3957,              0.0014855,              0.0014855,              0.0014855
                     14,                0.77343,                0.73494,                 1.0265,                0.41684,                0.28114,                0.23902,                0.06542,                 2.7278,                  2.623,                 2.6513,               0.001469,               0.001469,               0.001469
                     15,                 0.7355,                0.69567,                 1.0098,                0.39587,                0.27507,                0.21654,                0.05377,                 2.7809,                 2.5906,                 2.6523,              0.0014525,              0.0014525,              0.0014525
                     16,                0.73999,                0.68587,                 1.0068,                0.44395,                0.31541,                0.29111,                0.07918,                 2.6445,                 2.3636,                 2.6193,               0.001436,               0.001436,               0.001436
                     17,                0.72086,                0.68189,                 1.0024,                0.43562,                0.31548,                0.26779,                0.08312,                 2.4729,                 2.5364,                 2.3255,              0.0014195,              0.0014195,              0.0014195
                     18,                0.71626,                0.66689,                0.99392,                0.39794,                0.28409,                 0.2194,                0.06641,                 2.5381,                 2.7131,                  2.439,              0.0014029,              0.0014029,              0.0014029
                     19,                0.70167,                0.65731,                0.98772,                0.33206,                0.28264,                0.23058,                0.07843,                 2.5213,                 2.7087,                 2.3942,              0.0013864,              0.0013864,              0.0013864
                     20,                0.71192,                0.66123,                0.99149,                0.43053,                0.33539,                 0.2916,                0.08542,                 2.5929,                 2.6245,                 2.4943,              0.0013699,              0.0013699,              0.0013699
                     21,                 0.6874,                 0.6283,                0.98271,                0.41772,                0.36254,                0.29665,                0.08342,                 2.6429,                 2.2927,                 2.5161,              0.0013534,              0.0013534,              0.0013534
                     22,                0.67949,                0.61867,                0.97927,                0.39687,                0.25033,                 0.2169,                0.06395,                 2.6508,                 2.9244,                 2.5448,              0.0013369,              0.0013369,              0.0013369
                     23,                0.67206,                 0.6084,                0.97503,                0.30548,                0.16232,                0.12262,                0.03016,                 2.6623,                  3.504,                 2.4639,              0.0013204,              0.0013204,              0.0013204
                     24,                0.65874,                 0.5949,                0.96377,                0.35348,                0.23374,                0.18061,                0.04665,                 2.6507,                 2.7994,                 2.4594,              0.0013039,              0.0013039,              0.0013039
                     25,                0.65644,                0.59599,                0.96822,                0.49521,                0.40024,                0.39088,                0.14678,                 2.3248,                  2.261,                 2.2874,              0.0012874,              0.0012874,              0.0012874
                     26,                0.64557,                0.58271,                0.96365,                0.37439,                0.22688,                0.18677,                 0.0512,                 2.6256,                 3.0436,                 2.5013,              0.0012709,              0.0012709,              0.0012709
                     27,                0.63887,                 0.5782,                0.95868,                 0.3773,                0.27161,                0.22913,                0.07076,                 2.4987,                 2.6734,                 2.4039,              0.0012544,              0.0012544,              0.0012544
                     28,                 0.6448,                0.56735,                0.96112,                0.35839,                0.27863,                0.18164,                0.06171,                 2.5264,                  3.202,                 2.5265,              0.0012379,              0.0012379,              0.0012379
                     29,                0.62598,                0.55066,                0.95395,                0.46073,                0.33021,                0.31714,                0.10678,                 2.3702,                 2.6071,                 2.2372,              0.0012214,              0.0012214,              0.0012214
                     30,                0.62331,                0.54601,                0.95227,                0.31304,                0.21435,                0.17829,                0.05945,                 2.5597,                 3.0871,                 2.4705,              0.0012049,              0.0012049,              0.0012049
                     31,                0.61542,                 0.5416,                0.94859,                0.50054,                0.38206,                0.36309,                0.12099,                 2.4535,                 2.3552,                 2.3163,              0.0011884,              0.0011884,              0.0011884
                     32,                 0.6109,                0.53801,                0.95214,                 0.2876,                0.16078,                0.10611,                0.02799,                 2.7704,                  3.421,                 2.5692,              0.0011719,              0.0011719,              0.0011719
                     33,                0.61373,                0.53388,                0.94891,                0.45257,                0.29317,                0.28498,                0.09116,                 2.4211,                 2.9034,                 2.3148,              0.0011554,              0.0011554,              0.0011554
                     34,                0.59953,                0.53318,                0.94096,                0.48794,                0.34258,                0.33467,                0.11392,                 2.4207,                 2.4911,                 2.2911,              0.0011389,              0.0011389,              0.0011389
                     35,                0.60152,                0.52502,                0.94189,                0.48098,                0.23212,                0.22758,                0.06886,                 2.6576,                 3.0641,                 2.5074,              0.0011224,              0.0011224,              0.0011224
                     36,                0.59166,                 0.5159,                0.93669,                0.49473,                 0.2266,                  0.233,                0.07494,                 2.5451,                 3.0672,                 2.4266,              0.0011059,              0.0011059,              0.0011059
                     37,                0.59797,                0.51761,                 0.9382,                0.47377,                0.38887,                0.36371,                0.10735,                 2.5367,                 2.3532,                 2.3882,              0.0010894,              0.0010894,              0.0010894
                     38,                0.59042,                0.50767,                0.93809,                0.46166,                0.39534,                0.34757,                0.11218,                 2.4441,                  2.428,                 2.3445,              0.0010729,              0.0010729,              0.0010729
                     39,                0.58347,                0.50413,                0.93754,                0.45218,                0.28221,                0.25136,                0.07807,                 2.5865,                 2.9851,                 2.4882,              0.0010564,              0.0010564,              0.0010564
                     40,                0.58123,                0.49527,                0.93014,                0.43777,                0.35115,                 0.3302,                 0.1053,                 2.4997,                 2.4414,                 2.3809,              0.0010399,              0.0010399,              0.0010399
                     41,                0.58368,                0.49231,                0.93339,                0.48611,                0.34314,                0.35319,                0.10888,                  2.506,                 2.5052,                 2.3946,              0.0010234,              0.0010234,              0.0010234
                     42,                0.57006,                0.49046,                0.92934,                0.48023,                0.39511,                  0.394,                0.14037,                 2.3582,                 2.1637,                 2.2643,              0.0010069,              0.0010069,              0.0010069
                     43,                0.56859,                0.48545,                0.92645,                0.47027,                0.41784,                0.39678,                0.13258,                 2.3947,                 2.1574,                 2.2759,             0.00099036,             0.00099036,             0.00099036
                     44,                0.57116,                0.48271,                0.92793,                0.42626,                0.28835,                0.27733,                0.08772,                 2.5201,                 2.8232,                 2.3593,             0.00097386,             0.00097386,             0.00097386
                     45,                0.56456,                0.47683,                0.92189,                0.45853,                0.26339,                0.25874,                0.07739,                 2.6965,                 2.5406,                  2.566,             0.00095736,             0.00095736,             0.00095736
                     46,                0.55541,                0.47214,                0.92258,                0.48205,                0.35372,                0.35603,                0.12054,                 2.4705,                 2.6117,                 2.3772,             0.00094085,             0.00094085,             0.00094085
                     47,                0.56446,                0.47549,                0.92306,                0.55475,                0.35016,                0.37435,                0.12316,                 2.5098,                 2.3187,                  2.376,             0.00092435,             0.00092435,             0.00092435
                     48,                0.56486,                0.47094,                0.91985,                0.47236,                0.36383,                 0.3786,                0.12911,                 2.3947,                 2.4649,                 2.2508,             0.00090785,             0.00090785,             0.00090785
                     49,                0.55966,                0.46954,                0.92324,                0.62808,                0.40416,                 0.4274,                0.15207,                 2.3953,                 2.1512,                 2.3061,             0.00089134,             0.00089134,             0.00089134
                     50,                 0.5549,                0.45989,                0.91683,                0.51161,                 0.3433,                0.35117,                0.10874,                  2.482,                 2.4397,                 2.3594,             0.00087484,             0.00087484,             0.00087484
                     51,                0.54733,                0.45484,                0.91691,                0.45613,                0.22483,                0.21292,                0.06155,                 2.7528,                 2.8663,                 2.6231,             0.00085834,             0.00085834,             0.00085834
                     52,                0.53976,                0.45998,                0.91594,                0.51501,                0.41205,                0.39951,                0.12908,                  2.476,                 2.0732,                 2.4068,             0.00084184,             0.00084184,             0.00084184
                     53,                0.54602,                0.45115,                0.91994,                0.45795,                0.25407,                0.25916,                0.07999,                 2.6122,                  3.134,                 2.4514,             0.00082533,             0.00082533,             0.00082533
